,index,ID,genre,book_lenght,book_sen,book_word,lenght_book,number_sen,number_word,number_of_stop_words,number_of_foreignwords,count_dial_break,noun,verb,adj,ProperNoun,num,Puch,she,he,she_he_ratio,period,comma,colon,semi_colon,exl,q
33,26,126,Detective and Mystery,327631,3767,73080,0.006030964933404456,0.00586795771082667,0.00610241638320102,0.39441707717569785,0.00019157088122605365,60,0.17625889436234263,0.15194307608100713,0.06055008210180624,0.0,0.005391351943076081,0.05154625068418172,709,2176,0.3258272058823529,0.03984674329501916,0.0460727969348659,0.0003968253968253968,0.009113300492610837,0.007895457033388068,0.006458675424192666
34,966,412,Sea and Adventure,256711,2176,55977,0.004725483971355553,0.003389614010819972,0.0046742605621571355,0.4234596352073173,5.359344016292406e-05,2,0.1810743698304661,0.1584222091216035,0.05077085231434339,0.0,0.006198974578844883,0.03887310859817425,1173,911,1.287596048298573,0.03147721385569073,0.06434785715561749,0.0012147846436929453,0.0060739232184647265,0.004591171373957161,0.003555031530807296
35,177,277,Ghost and Horror,126433,1040,26347,0.002327352995977565,0.0016200361081124867,0.0022000597215133724,0.383535127338976,7.590997077466125e-05,15,0.17220176870231904,0.14324211485178578,0.07367062663680875,0.0,0.0031882187725357724,0.03996659961285915,414,63,6.571428571428571,0.04528029756708544,0.08186890348047215,0.002618893991725813,0.0073253121797548105,0.0008350096785212737,0.0007970546931339431
36,492,391,Sea and Adventure,249273,2596,54407,0.004588566777394474,0.004043859362173091,0.004543160483864503,0.3972650578050618,0.0006432995754222802,3,0.18095098057235282,0.16071461392835482,0.0525667653059349,0.0,0.007443895087029242,0.047714448508463986,716,1196,0.5986622073578596,0.03661293583546235,0.0649732571176503,0.0018196187990515925,0.005238296542724282,0.007076295329645083,0.005183156579116658
37,943,410,Sea and Adventure,570969,3178,115760,0.010510281435703608,0.0049504564919052715,0.009666334435130678,0.4345801658604008,5.183137525915688e-05,89,0.1880787836903939,0.1601157567380788,0.05810297166551486,0.0,0.0054941257774706286,0.027453351762266757,443,3611,0.1226806978676267,0.02485314443676572,0.06891845196959226,0.00030234968901174847,0.00856945404284727,0.0013476157567380788,0.0013648928818244645
38,182,282,Humorous and Wit and Satire,590333,9418,131131,0.010866730016486392,0.01467067314058019,0.01094986265387976,0.3328503557511191,0.00012964135101539682,202,0.19559829483493604,0.16407256865272132,0.050735524017966764,0.0,0.004156149194317133,0.07206533924091175,2424,3955,0.6128950695322377,0.06865653430538926,0.04606843538141248,0.0033859270500491874,0.012293050460989392,0.007755603175450504,0.006238036772387917
39,619,400,Sea and Adventure,545326,4875,113190,0.010038250297663281,0.007593919256777281,0.009451731122256751,0.3726742645109992,6.184291898577613e-05,98,0.20926760314515416,0.13532114144359042,0.06838059899284389,0.0,0.0052919869246399855,0.043069175722236945,620,1781,0.3481190342504211,0.036964396148069616,0.08154430603410195,0.0026239067055393588,0.019922254616132166,0.00310098065200106,0.003065641841152045
40,211,363,Literary,865044,8538,179919,0.015923554333539636,0.013299873356792702,0.015023818462631969,0.3982347611980947,0.0001000450202591166,346,0.19693306432338997,0.1521462435873921,0.0568589198472646,0.0,0.004735464292264853,0.04747692016963189,2849,6255,0.45547561950439647,0.041318593367015155,0.060138173289091205,0.0014562108504382527,0.004357516437952634,0.0046020709319193635,0.003106953684713677
41,73,173,Western Stories,356060,3318,77339,0.006554280193839993,0.005168538275689645,0.006458056659282754,0.3984018412443916,0.000543063654818397,168,0.17305628466879583,0.15622131136942552,0.051073843726968285,0.0,0.004667761414034317,0.04290202873065336,245,1845,0.13279132791327913,0.034937095126650206,0.07968812630109001,0.0004525530456819974,0.011068154488679708,0.002637737751975071,0.005792678984729567
42,215,315,Love and Romance,376355,6927,88429,0.00692786643361414,0.01079037511624538,0.007384107530789313,0.36627124585825915,5.6542536950547896e-05,223,0.16153071956032522,0.16780694116183606,0.03955715885060331,0.0,0.0043311583304119685,0.07833403069128905,1633,1825,0.8947945205479452,0.06432279003494329,0.048004613871015164,0.0007463614877472322,0.006140519512829502,0.004873966685137229,0.00969139083332391
